User_ID,Signup_Date,Acquisition_Channel,Device,City,City_Tier,Age_Group,KYC_Status,First_Investment,Investment_Amount,Referral_Status,Session_Count,Last_Active_Date,Retention_Days,Revenue,Churn_Status
JAR100000,2025-11-15,Paid Social (Meta/Insta),Android,Hyderabad,Tier 1,25-34,Rejected,No,0.0,None,20,2026-06-14,211,0.0,Active
JAR100001,2026-03-21,Paid Social (Meta/Insta),Android,Hyderabad,Tier 1,25-34,In Progress,No,0.0,None,10,2026-06-23,94,0.0,Active
JAR100002,2025-09-19,Google Ads,Android,Bengaluru,Tier 1,35-44,Verified,No,0.0,None,19,2026-06-09,263,0.0,Active
JAR100003,2025-08-11,Paid Social (Meta/Insta),Android,Coimbatore,Tier 2/3,25-34,Verified,No,0.0,None,21,2026-06-17,310,0.0,Active
JAR100004,2026-05-04,Google Ads,Android,Coimbatore,Tier 2/3,18-24,Rejected,No,0.0,None,5,2026-05-24,20,0.0,Churned
JAR100005,2025-09-03,App Store Search,iOS,Jaipur,Tier 2/3,45+,Rejected,No,0.0,None,24,2025-11-19,77,0.0,Churned
JAR100006,2025-07-02,Organic,Android,Patna,Tier 2/3,35-44,Verified,Yes,1625.43,Referred Others,113,2026-06-11,344,104.23,Active
JAR100007,2026-03-06,Google Ads,Android,Delhi NCR,Tier 1,18-24,Not Started,No,0.0,None,9,2026-06-06,92,0.0,Active
JAR100008,2025-07-21,Organic,Android,Delhi NCR,Tier 1,35-44,Verified,Yes,1608.59,None,67,2026-06-08,322,120.06,Active
JAR100009,2026-01-26,Referral,Android,Bengaluru,Tier 1,45+,Not Started,No,0.0,Was Referred,9,2026-04-25,89,0.0,Churned
JAR100010,2026-01-12,Google Ads,iOS,Kolkata,Tier 2/3,35-44,Verified,Yes,871.03,None,12,2026-06-05,144,35.08,Active
JAR100011,2025-07-27,App Store Search,Android,Chennai,Tier 1,25-34,In Progress,No,0.0,None,3,2026-06-07,315,0.0,Active
JAR100012,2026-01-10,Influencer,Android,Indore,Tier 2/3,25-34,In Progress,No,0.0,Referred Others,33,2026-06-21,162,12.82,Active
JAR100013,2025-07-16,Organic,Android,Chennai,Tier 1,18-24,Rejected,No,0.0,None,66,2026-06-29,348,9.71,Active
JAR100014,2025-10-15,Paid Social (Meta/Insta),Android,Mumbai,Tier 1,18-24,Rejected,No,0.0,None,30,2025-10-29,14,17.89,Churned
JAR100015,2026-01-12,Paid Social (Meta/Insta),Android,Indore,Tier 2/3,45+,In Progress,No,0.0,None,12,2026-04-22,100,0.0,Churned
JAR100016,2025-12-25,Referral,iOS,Pune,Tier 1,35-44,In Progress,No,0.0,Was Referred,52,2026-06-08,165,21.44,Active
JAR100017,2025-07-19,App Store Search,Android,Nagpur,Tier 2/3,18-24,Verified,No,0.0,Referred Others,24,2026-06-12,328,0.0,Active
JAR100018,2026-02-09,Referral,Android,Chennai,Tier 1,25-34,Rejected,No,0.0,Was Referred,5,2026-02-28,19,0.0,Churned
JAR100019,2025-07-04,Organic,Android,Mumbai,Tier 1,18-24,Verified,No,0.0,None,43,2026-06-09,340,16.04,Active
JAR100020,2026-06-14,Organic,Android,Coimbatore,Tier 2/3,18-24,Rejected,No,0.0,None,2,2026-06-14,0,0.0,Active
JAR100021,2026-04-09,Referral,Android,Patna,Tier 2/3,25-34,In Progress,No,0.0,Was Referred,24,2026-06-08,60,0.0,Active
JAR100022,2025-07-02,Influencer,Android,Pune,Tier 1,18-24,Verified,Yes,7729.36,None,20,2026-06-28,361,662.82,Active
JAR100023,2026-02-15,Referral,Android,Bengaluru,Tier 1,18-24,In Progress,No,0.0,Was Referred,31,2026-06-27,132,12.55,Active
JAR100024,2026-02-12,Google Ads,Android,Bengaluru,Tier 1,45+,Verified,Yes,651.26,None,26,2026-06-24,132,22.46,Active
JAR100025,2025-12-15,Organic,Android,Hyderabad,Tier 1,18-24,In Progress,No,0.0,None,53,2026-05-27,163,17.8,Churned
JAR100026,2025-09-17,Paid Social (Meta/Insta),iOS,Lucknow,Tier 2/3,25-34,Verified,No,0.0,None,14,2026-01-26,131,0.0,Churned
JAR100027,2025-10-08,Influencer,Android,Hyderabad,Tier 1,25-34,Verified,No,0.0,None,36,2026-06-22,257,10.51,Active
JAR100028,2026-03-06,Organic,Android,Bengaluru,Tier 1,25-34,Verified,Yes,8409.73,None,22,2026-06-22,108,250.45,Active
JAR100029,2025-10-04,Paid Social (Meta/Insta),Android,Coimbatore,Tier 2/3,25-34,Verified,No,0.0,Referred Others,22,2025-12-07,64,0.0,Churned
JAR100030,2025-09-18,Google Ads,iOS,Nagpur,Tier 2/3,18-24,Not Started,No,0.0,None,10,2026-06-06,261,0.0,Active
JAR100031,2026-03-02,Paid Social (Meta/Insta),Android,Hyderabad,Tier 1,35-44,Verified,No,0.0,None,3,2026-05-09,68,0.0,Churned
JAR100032,2025-11-04,Paid Social (Meta/Insta),Android,Bengaluru,Tier 1,25-34,In Progress,No,0.0,None,13,2026-06-07,215,0.0,Active
JAR100033,2026-01-16,Google Ads,Android,Delhi NCR,Tier 1,25-34,In Progress,No,0.0,Referred Others,37,2026-06-12,147,16.52,Active
JAR100034,2025-11-14,App Store Search,iOS,Indore,Tier 2/3,25-34,Verified,Yes,857.62,None,49,2026-04-12,149,26.24,Churned
JAR100035,2025-09-25,Organic,Android,Ahmedabad,Tier 2/3,25-34,In Progress,No,0.0,Referred Others,34,2026-06-05,253,10.14,Active
JAR100036,2026-06-21,Influencer,Android,Hyderabad,Tier 1,18-24,Rejected,No,0.0,None,1,2026-06-22,1,0.0,Churned
JAR100037,2025-11-18,Organic,Android,Hyderabad,Tier 1,25-34,Rejected,No,0.0,Referred Others,9,2026-02-22,96,0.0,Churned
JAR100038,2026-01-24,Organic,Android,Mumbai,Tier 1,25-34,Verified,Yes,548.31,Referred Others,22,2026-02-17,24,3.62,Churned
JAR100039,2025-11-13,Referral,Android,Hyderabad,Tier 1,25-34,Verified,Yes,740.46,Was Referred,20,2026-06-11,210,21.53,Active
JAR100040,2025-09-15,App Store Search,Android,Chennai,Tier 1,18-24,Verified,Yes,1762.06,Referred Others,64,2026-05-25,252,115.48,Churned
JAR100041,2025-09-25,Paid Social (Meta/Insta),Android,Jaipur,Tier 2/3,18-24,Verified,No,0.0,None,42,2026-02-06,134,17.7,Churned
JAR100042,2026-06-24,Referral,Android,Delhi NCR,Tier 1,35-44,In Progress,No,0.0,Was Referred,2,2026-06-30,6,0.0,Active
JAR100043,2025-11-08,Organic,Android,Patna,Tier 2/3,25-34,Verified,Yes,651.84,None,42,2026-06-14,218,38.79,Active
JAR100044,2025-07-11,App Store Search,Android,Chennai,Tier 1,35-44,Rejected,No,0.0,Referred Others,35,2026-06-13,337,5.39,Active
JAR100045,2025-09-08,Referral,Android,Pune,Tier 1,18-24,Rejected,No,0.0,Was Referred,42,2026-06-01,266,24.47,Active
JAR100046,2026-03-01,Referral,Android,Kolkata,Tier 2/3,25-34,Verified,Yes,6730.62,Was Referred,17,2026-04-07,37,77.13,Churned
JAR100047,2026-01-10,Google Ads,Android,Mumbai,Tier 1,18-24,Verified,Yes,12435.92,None,19,2026-06-02,143,700.44,Active
JAR100048,2025-11-09,Influencer,Android,Bengaluru,Tier 1,25-34,Verified,Yes,1833.8,None,28,2026-03-24,135,97.86,Churned
JAR100049,2026-05-09,Organic,iOS,Hyderabad,Tier 1,18-24,Verified,Yes,1497.75,None,13,2026-06-16,38,18.14,Active
JAR100050,2026-01-02,Paid Social (Meta/Insta),iOS,Bengaluru,Tier 1,18-24,Verified,No,0.0,None,14,2026-06-14,163,0.0,Active
JAR100051,2025-08-23,App Store Search,Android,Hyderabad,Tier 1,18-24,Verified,No,0.0,None,17,2026-04-05,225,0.0,Churned
JAR100052,2025-10-24,App Store Search,Android,Jaipur,Tier 2/3,25-34,Verified,Yes,2003.58,Referred Others,32,2026-06-16,235,134.96,Active
JAR100053,2026-02-12,Organic,iOS,Indore,Tier 2/3,25-34,Verified,No,0.0,Referred Others,22,2026-06-29,137,0.0,Active
JAR100054,2026-01-27,Referral,Android,Ahmedabad,Tier 2/3,18-24,Verified,No,0.0,Was Referred,7,2026-03-27,59,0.0,Churned
JAR100055,2026-01-03,Organic,Android,Lucknow,Tier 2/3,25-34,Not Started,No,0.0,None,19,2026-04-05,92,0.0,Churned
JAR100056,2025-08-14,Paid Social (Meta/Insta),Android,Coimbatore,Tier 2/3,18-24,Verified,No,0.0,None,21,2026-04-25,254,0.0,Churned
JAR100057,2026-04-05,Influencer,Android,Surat,Tier 2/3,35-44,Not Started,No,0.0,None,4,2026-06-12,68,0.0,Active
JAR100058,2026-01-14,Referral,Android,Hyderabad,Tier 1,45+,Not Started,No,0.0,Was Referred,25,2026-03-08,53,0.0,Churned
JAR100059,2025-12-09,Google Ads,iOS,Ahmedabad,Tier 2/3,35-44,Verified,No,0.0,None,38,2026-05-20,162,18.16,Churned
JAR100060,2026-02-26,Influencer,Android,Delhi NCR,Tier 1,45+,Verified,Yes,1982.41,None,15,2026-05-16,79,48.33,Churned
JAR100061,2025-07-13,Influencer,Android,Ahmedabad,Tier 2/3,35-44,Verified,Yes,696.39,None,35,2026-06-10,332,53.22,Active
JAR100062,2025-09-07,App Store Search,Android,Pune,Tier 1,35-44,Verified,No,0.0,None,75,2026-06-04,270,23.13,Active
JAR100063,2025-12-04,Paid Social (Meta/Insta),iOS,Hyderabad,Tier 1,18-24,Verified,No,0.0,None,15,2026-06-16,194,0.0,Active
JAR100064,2026-05-23,Referral,Android,Mumbai,Tier 1,18-24,Verified,No,0.0,Was Referred,3,2026-05-29,6,0.0,Churned
